date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:49:35	1012/1012	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2260378fc1-3f4%22	https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/1x1/fi.svg	C:/Users/MSI/Desktop/Projet/Projet_mariem/Template/www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/1x1/fi.svg	(from https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/vendors.min.css)
10:49:36	23235/23235	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2260378fa5-5ac3%22	https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/4x3/fj.svg	C:/Users/MSI/Desktop/Projet/Projet_mariem/Template/www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/4x3/fj.svg	(from https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/vendors.min.css)
10:49:36	23582/23582	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2260378fc0-5c1e%22	https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/1x1/fj.svg	C:/Users/MSI/Desktop/Projet/Projet_mariem/Template/www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/1x1/fj.svg	(from https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/vendors.min.css)
10:49:36	45084/45084	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2260378fa6-b01c%22	https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/4x3/fk.svg	C:/Users/MSI/Desktop/Projet/Projet_mariem/Template/www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/4x3/fk.svg	(from https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/vendors.min.css)
10:49:37	45156/45156	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2260378fc0-b064%22	https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/1x1/fk.svg	C:/Users/MSI/Desktop/Projet/Projet_mariem/Template/www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/1x1/fk.svg	(from https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/vendors.min.css)
10:49:37	983/983	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2260378fa3-3d7%22	https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/4x3/fm.svg	C:/Users/MSI/Desktop/Projet/Projet_mariem/Template/www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/4x3/fm.svg	(from https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/vendors.min.css)
10:49:37	988/988	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2260378fbe-3dc%22	https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/1x1/fm.svg	C:/Users/MSI/Desktop/Projet/Projet_mariem/Template/www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/1x1/fm.svg	(from https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/vendors.min.css)
10:49:37	696/696	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2260378fa3-2b8%22	https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/4x3/fo.svg	C:/Users/MSI/Desktop/Projet/Projet_mariem/Template/www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/4x3/fo.svg	(from https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/vendors.min.css)
10:49:38	635/635	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2260378fbe-27b%22	https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/1x1/fo.svg	C:/Users/MSI/Desktop/Projet/Projet_mariem/Template/www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/1x1/fo.svg	(from https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/vendors.min.css)
10:49:38	354/354	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2260378f8d-162%22	https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/4x3/fr.svg	C:/Users/MSI/Desktop/Projet/Projet_mariem/Template/www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/4x3/fr.svg	(from https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/vendors.min.css)
